From	To	Distance	Frontsight Azimuth	Frontsight Inclination	Backsight Azimuth	Backsignt Inclination	Left	Right	Up	Down	North	East	Elevation	Description	Date	Surveyors	Comment	Scanned Notes
PTX60	PTX61	54.362419	-83.47241947	-0.010539594	-83.47241947	-0.010539594	7.994848341	18.99816044	1	7	0	0	-200	Eclipse Canyon Continued.	2004-11-12	"Les Carney, Suzanne DeBlois, Mick Skowronsky"		
PTX61	PTX62	55.3000877	-47.9758215	0.23830102	-47.9758215	0.23830102	6.99211699	4.997299271	0	4				Eclipse Canyon Continued.	2004-11-12	"Les Carney, Suzanne DeBlois, Mick Skowronsky"		
PTX62	PTX63	35.49518559	-31.53135188	0.984701038	-31.53135188	0.984701038	7.990356688	13.99373074	0	4				Eclipse Canyon Continued.	2004-11-12	"Les Carney, Suzanne DeBlois, Mick Skowronsky"		
PTX63	PTX64	49.87471704	-56.77193381	-0.011487941	-56.77193381	-0.011487941	4.992254	9.991541423	0	3				Eclipse Canyon Continued.	2004-11-12	"Les Carney, Suzanne DeBlois, Mick Skowronsky"		
PTX64	PTX65	31.87686779	-30.37163693	1.707791727	-30.37163693	1.707791727	4.990751446	6.997385226	0	5				Eclipse Canyon Continued.	2004-11-12	"Les Carney, Suzanne DeBlois, Mick Skowronsky"		
PTX63	PX1	14.5715785	89.87979924	-11.07856764	89.87979924	-11.07856764	2.989397933	2.989397933	2	2				Not Too Bad passage off of Northtown Ave.	1994-01-03	"Bob Anderson, Lewis Carroll"		
PX1	PX2	9.670563582	50.90032753	-8.623423699	50.90032753	-8.623423699	0.993579388	4.994897396	4	1				Not Too Bad passage off of Northtown Ave.	1994-01-03	"Bob Anderson, Lewis Carroll"		
PX2	PX3	3.300378766	-143.1301024	-89.13194855	-143.1301024	-89.13194855	24.99539958	14.99723975	7	2				Not Too Bad passage off of Northtown Ave.	1994-01-03	"Bob Anderson, Lewis Carroll"		
PX3	PX4	14.31654986	15.97838771	1.280767827	15.97838771	1.280767827	2.998132752	14.99749646	0	4				Not Too Bad passage off of Northtown Ave.	1994-01-03	"Bob Anderson, Lewis Carroll"		
PX4	PX5	16.54456406	-42.72323382	-8.200932348	-42.72323382	-8.200932348	9.99032532	3.992242478	2	3				Not Too Bad passage off of Northtown Ave.	1994-01-03	"Bob Anderson, Lewis Carroll"		
PX5	PX6	64.86368784	15.43332001	-0.706678687	15.43332001	-0.706678687	2.992824753	10.99272942	3	2				Not Too Bad passage off of Northtown Ave.	1994-01-03	"Bob Anderson, Lewis Carroll"		
PX6	PX7	13.33351042	-39.25584168	7.758516212	-39.25584168	7.758516212	24.98898958	7.988654455	3	1				Not Too Bad passage off of Northtown Ave.	1994-01-03	"Bob Anderson, Lewis Carroll"		
PX7	PX8	55.32241228	-39.22600161	-0.952860602	-39.22600161	-0.952860602	9.991040987	2.998266166	1	6				Not Too Bad passage off of Northtown Ave.	1994-01-03	"Bob Anderson, Lewis Carroll"		
PX8	PX9	9.708444778	4.233914784	-28.4834177	4.233914784	-28.4834177	5.996165441	7.991808306	6	3				Not Too Bad passage off of Northtown Ave.	1994-01-03	"Bob Anderson, Lewis Carroll"		
PX4	PXA1	39.36441413	136.8535854	-1.557600625	136.8535854	-1.557600625	1.998324298	7.993297192	2	3				Not Too Bad passage off of Northtown Ave.	1994-01-03	"Bob Anderson, Lewis Carroll"		
PXA1	PXA2	27.18979588	152.5113594	0.189653118	152.5113594	0.189653118	7.997905976	4.992494367	3	1				Not Too Bad passage off of Northtown Ave.	1994-01-03	"Bob Anderson, Lewis Carroll"		
PXA2	PXA3	40.05464018	119.8886663	-1.802652414	119.8886663	-1.802652414	0	7.996305397	1	1				Not Too Bad passage off of Northtown Ave.	1994-01-03	"Bob Anderson, Lewis Carroll"		
PXA3	PXA4	45.80783121	137.8610788	2.690177544	137.8610788	2.690177544	7.993922692	11.99088404	8	1				Not Too Bad passage off of Northtown Ave.	1994-01-03	"Bob Anderson, Lewis Carroll"		
PXA4	PTX60	22.53337525	-51.34019175	16.7392868	-51.34019175	16.7392868	0.994886928	0.994886928	0	0				Not Too Bad passage off of Northtown Ave.	1994-01-03	"Bob Anderson, Lewis Carroll"		
PTX65	PDA1	4.98013052	33.69006752	-89.58518221	33.69006752	-89.58518221	5.995615064	9.991536418	0	2				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA1	PDA2	26.48621717	-8.481227883	6.656077261	-8.481227883	6.656077261	11.99474885	17.99382672	14	20				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA2	PDA3	13.8	0	-90	0	-90	0.996393497	0.996393497	0	0				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA2	PDA4	20.95890264	20.33833767	-2.023373626	20.33833767	-2.023373626	3.99011278	3.99011278	2	5				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA4	PDA5	24.18038461	-0.023774181	4.673123597	-0.023774181	4.673123597	5.993037627	5.993037627	0	2				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA5	PDA6	25.17488034	51.82359897	-0.295869706	51.82359897	-0.295869706	6.997170857	4.994847345	0	1.5				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA6	PDA7	46.36323328	23.80062274	0.210086822	23.80062274	0.210086822	3.994108161	6.992002574	0.5	1.5				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA7	PDA8	37.78881051	12.37750602	-0.28808115	12.37750602	-0.28808115	4.998529784	4.998529784	0	1.5				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA8	PDA9	11.27656419	-1.997879856	-7.234169597	-1.997879856	-7.234169597	4.99865982	5.997907969	1	0.5				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA9	PDA10	20.95941077	30.23675128	1.695112826	30.23675128	1.695112826	2.991354208	5.992703897	0	2				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA10	PDA11	12.25113056	-33.33967868	-1.77745954	-33.33967868	-1.77745954	4.992163859	2.989665533	1	1.5				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA11	PDA12	18.89579847	-66.5304718	2.183710326	-66.5304718	2.183710326	3.992004509	3.992004509	0	2				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA12	PDA13	18.16163264	-38.5612604	-0.788717488	-38.5612604	-0.788717488	8.995387707	4.998739841	0	2				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA13	PDA14	16.287618	-68.76042394	0.738748114	-68.76042394	0.738748114	4.990160318	1.990025125	0	2				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA14	PDA15	18.59715032	-109.4092729	-0.308090512	-109.4092729	-0.308090512	6.99826407	2.993275798	0.5	2				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA15	PDA16	17.37228828	-75.53176638	0.725604378	-75.53176638	0.725604378	5.989757925	11.99223916	0	1.5				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA16	PDA17	29.08840491	-65.26750659	0.196971586	-65.26750659	0.196971586	6.994433501	11.99428197	0	1.5				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA17	PDA18	20.31877949	-60.50702818	1.466478761	-60.50702818	1.466478761	3.993356984	4.991442677	0	2				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA18	PDA19	26.58013544	-70.52887685	-0.043111733	-70.52887685	-0.043111733	3.992455385	3.992455385	0	2				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA19	PDA20	12.13799407	-104.6546428	-1.321819844	-104.6546428	-1.321819844	1.990602924	14.99721641	0	3				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA20	PDA21	18.62846746	-51.26798235	-3.785878631	-51.26798235	-3.785878631	3.988897091	5.994414066	1	3				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA21	PDA22	18.8020451	-17.41797079	-5.738544131	-17.41797079	-5.738544131	3.990588929	4.988236161	2	1				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA22	PDA23	24.36955888	-105.6413394	3.222734709	-105.6413394	3.222734709	11.99353993	5.991060006	0	4				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA23	PDA24	21.11589212	-54.5160202	-3.040430391	-54.5160202	-3.040430391	7.99582391	0.997647232	1	3				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA24	PDA25	38.20742991	-28.85941407	0.674834632	-28.85941407	0.674834632	6.996234702	3.992355195	0	4				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA25	PDA26	13.3998097	12.54272121	-0.085517335	12.54272121	-0.085517335	4.995928342	2.989314303	0	5.5				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA26	PDA27	25.86403874	-37.0471462	-0.996920939	-37.0471462	-0.996920939	7.997799697	4.991873396	0	4				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA27	PDA28	20.39867888	-17.63552471	-0.028087987	-17.63552471	-0.028087987	2.994211081	3.991440843	0	5				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA28	PDA29	16.42084346	32.53811095	1.256216426	32.53811095	1.256216426	3.997123966	0.990403958	0	5.5				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA29	PDA30	26.74787842	-8.169493386	-1.263922739	-8.169493386	-1.263922739	6.996234702	2.992524018	0	4				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDA23	PDB1	20.62961948	150.2275495	-1.555509949	150.2275495	-1.555509949	0.990403958	3.993018908	1	4				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDB1	PDB2	27.4202644	-173.6528826	1.713679492	-173.6528826	1.713679492	1.991230775	3.993820226	0	5				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDB2	PDB3	13.25602505	156.472127	1.469724258	156.472127	1.469724258	1.994918545	4.992995093	0	5				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PDB3	PDB4	22.73798144	-164.88191	-0.554370589	-164.88191	-0.554370589	7.992702922	5.993880212	0	4				Lower Crust Maze	1994-01-03	"Joe Rhoades, Jen Harmon, Ronnie Harrison"		
PX9	PX10	6.208671355	0.373257127	8.521461	0.373257127	8.521461	4.992173875	2.993125457	1	1.5				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"	"KC32 is ""Chert Nodule Corner"".  Side lead on right is 2'w x 1'h."	
PX10	PX11	22.1284003	10.19322693	-5.185560047	10.19322693	-5.185560047	2.99541316	2.99541316	1	1				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PX11	PX12	8.508078514	22.84551175	34.26312991	22.84551175	34.26312991	2.997131962	4.999249944	3.5	7				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM2	PXM3	32.766637	-49.54285969	0.699457838	-49.54285969	0.699457838	3.996561022	9.994843671	0	2				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM3	PXM4	34.09710545	-39.17944791	-0.520922117	-39.17944791	-0.520922117	2.995797056	2.995797056	1	2.5				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM4	PXM5	40.02786404	-28.51792374	0.472366485	-28.51792374	0.472366485	0	14.99237473	1	1.5				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM5	PXM6	27.74039293	-55.2042612	0.227197656	-55.2042612	0.227197656	0.997246208	2.994461554	1	2				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM6	PXM7	9.591136533	-93.76638797	-0.537652219	-93.76638797	-0.537652219	2.990066889	0	1.5	2.5				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM7	PXM8	20.26839165	-12.85689191	-0.282686525	-12.85689191	-0.282686525	0	2.992824753	1	1.5				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM8	PXM9	16.99745275	-39.66720709	-3.474098789	-39.66720709	-3.474098789	2.99527962	19.99318134	2.5	1.5				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM9	PXM10	42.01464745	-9.325401582	2.796715194	-9.325401582	2.796715194	7.992158657	3.989348318	1	2.5				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM10	PXM11	63.89914084	-45.21558735	-0.681477381	-45.21558735	-0.681477381	7.990419263	2.998166106	1	4				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM11	PXM12	78.74947936	-44.22278932	-1.688207279	-44.22278932	-1.688207279	2.998833106	4.990641241	0.5	4.5				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM12	PXM13	40.6161815	-20.79545043	-0.183386615	-20.79545043	-0.183386615	9.995849139	4.991192242	1	3				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM13	PXM14	81.25257719	-33.74874014	0.063464094	-33.74874014	0.063464094	7.994129096	0	2	4				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM14	PXM15	42.97357677	-49.53031317	-0.653321005	-49.53031317	-0.653321005	5.996265504	19.98990995	2	2.5				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM15	PXM16	38.65629832	-39.0255555	-0.400193162	-39.0255555	-0.400193162	5.989899832	3.990250619	3	1				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM16	PXM17	94.04949761	-10.15766897	1.584144646	-10.15766897	1.584144646	0.992975327	9.990320315	0	3				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM17	PXM18	65.56117296	-26.81128979	0.594282056	-26.81128979	0.594282056	5.992303397	5.992303397	0	2.5				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM18	PXM19	44.05150054	-87.20190998	-1.157661212	-87.20190998	-1.157661212	5.999416638	9.994723608	0	3				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM19	PXM20	33.31922718	-109.4085515	1.100612386	-109.4085515	1.100612386	9.992487178	11.99490308	0	2.5				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM20	PXM21	42.3207585	-22.83562602	-2.383455905	-22.83562602	-2.383455905	3.989786962	1.994893481	1	2.5				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM21	PXM22	36.34478505	-27.05866414	-1.150886758	-27.05866414	-1.150886758	4.989348655	14.98957304	1.5	0				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM22	PXM23	11.84105147	-130.4094568	9.96965138	-130.4094568	9.96965138	14.99649292	4.993756101	0	2.5				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM23	PLD1	15.00533905	-148.7268953	5.775498683	-148.7268953	5.775498683	3.989110176	2.992674389	2.5	3				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM23	PXM24	17.29675981	-5.236646843	-6.006649164	-5.236646843	-6.006649164	14.99768315	7.993910182	1.5	1.5				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM24	PXM25	88.10481088	1.528652424	1.001534345	1.528652424	1.001534345	0	0	0	3				Cruising The Ooze Trail (Slime Way cont) and loop off Penny Lane	1995-08-14	"Keith Ortiz, David Ortiz, Bob Anderson"		
PXM27	PXM26	92.60506358	111.766921	-1.998842237	111.766921	-1.998842237	14.98826207	7.99340353	0	0				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"	Lead at FO14 going NW 4'h x 6'w. Probably goes to Ntown Ave.	
PXM28	PXM27	35.20732594	73.25866321	0.992752884	73.25866321	0.992752884	2.992824753	9.999249972	3	3				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM29	PXM28	28.09331771	93.53053542	0	93.53053542	0	13.99293036	5.99980833	2	3				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM30	PXM29	47.02165671	129.1393711	-0.328996181	129.1393711	-0.328996181	10.98836203	13.98942815	1	3				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM31	PXM30	54.63327924	148.0569238	2.391808221	148.0569238	2.391808221	5.99174432	11.99095075	1	3				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM32	PXM31	94.48474374	143.3047471	0.145536743	143.3047471	0.145536743	11.9913719	4.99009018	2.5	3				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM33	PXM32	14.45082697	143.7675812	-5.639228322	143.7675812	-5.639228322	21.99407648	2.994010688	3	4				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM34	PXM33	55.32599389	-160.4186334	0.890654671	-160.4186334	0.890654671	3.993820226	6.997713912	3	5				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM35	PXM34	57.28333353	157.590449	2.891855572	157.590449	2.891855572	7.993603693	14.99675298	2.5	3				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM36	PXM35	63.42808447	131.7528382	-1.111151741	131.7528382	-1.111151741	2.988728827	7.992027277	4	2				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM37	PXM36	29.58716783	145.7355579	-13.46617189	145.7355579	-13.46617189	14.99001334	14.99001334	4	3				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM38	PXM37	35.77065417	137.4208004	9.07174691	137.4208004	9.07174691	6.995212649	1.997523467	0.5	3.5				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM39	PXM38	41.77742094	152.2203793	0.658312042	152.2203793	0.658312042	9.995248871	3.994421109	3	2				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
AJ1	PXM39	39.12965372	-138.4937654	-6.589017324	-138.4937654	-6.589017324	11.9892285	2.990401311	4	4				EJB Leapfrog	1998-11-29	"Rolland Moore, Andy Edwards, Aubri Jenson"	Two lead from EG10 are too tight.	
PXM39	PXM40	45.10650618	-35.65442984	-2.36330374	-35.65442984	-2.36330374	15.99538996	11.99176801	6	3				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM40	PXM41	98.83525333	-27.92107985	0.115942069	-27.92107985	0.115942069	19.99206343	2.988394218	5	6				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM41	PXM42	21.59872913	-8.000128164	-11.07775313	-8.000128164	-11.07775313	6.990915534	8.994603938	7	3				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM42	PXM43	74.21274419	-46.38147203	0.872447631	-46.38147203	0.872447631	13.99624593	0.995389371	3	5				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM43	PXM44	93.30732554	1.185684383	-1.621320145	1.185684383	-1.621320145	1.994617758	13.99823203	4	3				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM44	PXM45	92.16489191	-52.87148294	0.373002234	-52.87148294	0.373002234	15.98892429	4.991592932	1	6				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM45	PXM46	76.9220469	-44.87873369	-2.622805896	-44.87873369	-2.622805896	13.98926017	2.988728827	5	3				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM46	PXM47	40.88493243	-63.1278534	0.112111358	-63.1278534	0.112111358	10.99718146	4.991643016	3	5				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM47	PXM48	100.40768	-86.91102454	-0.878806882	-86.91102454	-0.878806882	10.9904868	5.995640083	0	5				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM48	PXM49	53.73139399	-87.40760718	-0.885095005	-87.40760718	-0.885095005	3.993657472	13.99814631	1	4				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM49	PXM50	44.590305	-82.39346425	-1.632092031	-82.39346425	-1.632092031	9.987577284	2.996664813	2	5				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM50	PXM51	49.89609003	-41.89409871	2.366174624	-41.89409871	2.366174624	17.99781376	1.990602924	2	5				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM51	PXM52	24.15301637	19.06669606	4.08364007	19.06669606	4.08364007	3.992054609	12.99392166	1	7				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM52	PXM53	34.5015391	-83.64325994	-4.138674242	-83.64325994	-4.138674242	14.99481577	2.990819286	5	3				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM53	PXM54	74.00407151	-98.70495711	-0.379372871	-98.70495711	-0.379372871	10.9944395	2.992958403	2	5				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM54	PXM55	64.96025246	-94.92771599	0.123481899	-94.92771599	0.123481899	0.990454441	14.99800653	3	3				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM55	PXM56	63.85581728	-80.64399699	2.62991854	-80.64399699	2.62991854	11.99410272	7.993903927	3	4				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM56	PXM57	31.19752234	-17.18516305	2.333061956	-17.18516305	2.333061956	14.98932954	2.997865908	4	3				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM57	PXM58	30.68406916	-44.26633396	8.168993438	-44.26633396	8.168993438	9.991841672	8.994798497	3	3				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM58	PXM59	39.04407125	-43.85731281	19.18400684	-43.85731281	19.18400684	12.99310971	2.992824753	2	5				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM59	PXM60	53.65928251	-112.1722059	0.427112011	-112.1722059	0.427112011	14.99729309	2.993275798	3	3				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM60	PXM61	22.94355465	-61.95572954	8.446289002	-61.95572954	8.446289002	9.993928157	1.997448372	5	1				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM61	PXM62	70.37630496	-98.06559827	1.685501557	-98.06559827	1.685501557	2.994461554	7.992158657	4	4				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM62	PXM63	23.57918998	-142.7558796	0.437391636	-142.7558796	0.437391636	0.993579388	9.988643552	3	5				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM63	PXM64	56.52327043	-136.0322447	0.4967031	-136.0322447	0.4967031	6.994883845	3.99392038	0	4				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM64	PXM65	36.75495069	-97.77642919	-4.181452486	-97.77642919	-4.181452486	3.994308451	8.993553247	3	4				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM65	PXM66	49.98767248	-142.7516529	1.868634291	-142.7516529	1.868634291	2.99	10.99615387	3	2				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
PXM66	PXM67	29.71257983	-171.4319069	4.981375029	-171.4319069	4.981375029	7.994660718	3.991039965	1	4				North in Northtown Ave.	1998-09-26	"Suzanne DeBlois, Mike Ficco, Keith Ortiz, Chip Hopper"		
